UNID,名称,所在地,経度,緯度
282,花野団地第六公園,花野光ヶ丘２丁目１１番,130.5247506,31.64809275
283,花野団地中央公園,花野光ヶ丘１丁目１８番,130.5283142,31.65132159
284,花野団地光ヶ丘公園,花野光ヶ丘２丁目３２番,130.5264193,31.65072652
285,日当平公園,下伊敷２丁目２１番,130.5376206,31.61943289
286,武岡ニュータウン公園,武岡５丁目４９,130.5073308,31.59956639
287,みずがめ座公園,伊敷３丁目８番,130.5284193,31.62295141
288,明ヶ窪中央公園,伊敷台７丁目１８番,130.5498025,31.6289375
289,帯迫北公園,吉野１丁目２７,130.568003,31.64868162
290,御召覧公園,吉野町３２２４番付近,130.5724814,31.6417838
291,吉野公園,吉野町７９５５番,130.5947853,31.63282738
292,クローバー公園,緑ヶ丘町３番,130.5459615,31.65585532
293,下田公園,下田町７２５番１,130.5625232,31.64801675
294,下花棚公園,川上町２２３８番付近,130.564756,31.66836631
295,大明公園,大明丘３丁目２８番,130.5673228,31.63396167
296,つつじ公園,緑ヶ丘町５４番,130.5416327,31.65859
297,寺山ふれあい公園,吉野町１０８７７番１５外,130.6012078,31.6576381
298,天神山公園,吉野町８０７番１８付近,130.5617668,31.63428078
299,中ﾉ町みどり公園,吉野町８５５０番３付近,130.5802856,31.63160923
300,中別府団地公園,吉野町５９５６－９５付近,130.5894496,31.64560397
301,ばくっば公園,吉野２丁目２４,130.5666037,31.65298432
302,れんげ公園,緑ヶ丘町４７番,130.5447776,31.65714617
303,牟礼岡第１０公園,牟礼岡１丁目１２番,130.5836355,31.67684034
304,牟礼岡第３公園,牟礼岡３丁目３０番,130.5834118,31.66946078
305,牟礼岡第４公園,牟礼岡３丁目３１番,130.5842207,31.67050773
306,牟礼岡第７公園,牟礼岡３丁目５番,130.5841086,31.67300959
307,牟礼岡第８公園,牟礼岡２丁目２１番,130.5857054,31.67553243
308,牟礼岡中央公園,牟礼岡１丁目２８番,130.5818357,31.67418943
309,クロマツ親水公園,桜島藤野町１３３８番１,130.6333881,31.6214968
310,古里(街区)公園,古里町１０７８番５２外,130.6589553,31.55375828
311,湯之公園,東桜島町５１５番,130.6349616,31.55473151
312,鹿児島市観光農業公園,喜入一倉町５８０９番地９７,130.5106172,31.35303923
313,星和公園,喜入瀬々串町６０４番３３９の一部,130.5100832,31.43225411
314,松陽台ふれあい公園,松陽台町５７０番２８６外,130.4571038,31.59789211
315,松陽台憩いの公園,松陽台町１５０９番２１外,130.4550099,31.59571024
316,松陽台出会いの公園,松陽台町３２番７,130.4594812,31.59627051
317,郡山早馬公園,郡山町１５９４番の一部,130.4703345,31.67478546
318,八重山公園,郡山町５５１７番地１,130.4704923,31.72618725
319,城南小学校,城南町１－１,130.5615552,31.5817466
320,中洲小学校,上之園町２８－１,130.5441245,31.57966396
321,松原小学校,南林寺町２－１８,130.5589484,31.5854369
322,名山小学校,山下町６－４３,130.5554942,31.59629262
323,山下小学校,西千石町１５－５,130.5505792,31.59055554
324,甲東中学校,樋之口町４－３８,130.554305,31.58482044
325,坂元小学校,玉里団地３丁目４５－１,130.5491697,31.623119
326,坂元台小学校,西坂元町５８－２,130.5524618,31.61615846
327,清水小学校,清水町８－１５,130.5667167,31.6080082
328,大龍小学校,大竜町１１－４４,130.562947,31.60620227
329,坂元中学校,玉里団地３丁目４５－２,130.5479448,31.62326695
330,清水中学校,稲荷町３６－２９,130.5661505,31.61205674
331,長田中学校,小川町３－１０,130.5589426,31.60057262
332,鹿児島玉龍高校,池之上町２０－５７,130.5614485,31.61052745
333,鹿児島商業高校,西坂元町５８－１,130.5514929,31.61419365
